Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
451,John Ralston,6,1972-1978,70,34,33,3,.507,1,0,0,0,0,,2.2,2,0,0,0
452,Buster Ramsey,2,1960-1961,28,11,16,1,.407,-5,0,0,0,0,,3.5,3,0,0,0
453,Dick Rauch,5,1925-1929,60,33,24,3,.579,9,0,0,0,0,,4.8,2,0,0,0
454,John Rauch,6,1966-1976,70,40,28,2,.588,12,2,4,2,2,.500,2.7,1,0,0,1
455,Johnny Rauch,1,1976,0,0,0,0,,0,0,0,0,0,,3.0,3,0,0,0
456,Floyd Reese,1,1984,0,0,0,0,,0,0,0,0,0,,5.0,5,0,0,0
457,Dan Reeves,27,1977-2003,357,190,165,2,.535,25,9,20,11,9,.550,2.3,1,0,0,4
458,Andy Reid,13,1999-2011,208,126,81,1,.609,45,9,19,10,9,.526,2.0,1,0,0,1
459,Jack Reilly,4,1995-2001,0,0,0,0,,0,0,0,0,0,,3.8,3,0,0,0
460,Ray Rhodes,14,1992-2005,80,37,42,1,.468,-5,2,3,1,2,.333,2.2,1,0,0,0
461,Homer Rice,2,1978-1979,27,8,19,0,.296,-11,0,0,0,0,,4.0,4,0,0,0
462,Ray Richards,3,1955-1957,36,14,21,1,.400,-7,0,0,0,0,,4.0,2,0,0,0
463,Mike Riley,3,1999-2001,48,14,34,0,.292,-20,0,0,0,0,,4.3,3,0,0,0
464,Jim Ringo+,9,1976-1988,23,3,20,0,.130,-17,0,0,0,0,,3.4,1,0,0,0
465,Ron Rivera,7,2004-2011,16,6,10,0,.375,-4,0,0,0,0,,1.9,1,0,0,0
466,Paul Roach,2,1975-1976,0,0,0,0,,0,0,0,0,0,,3.5,3,0,0,0
467,Harry Robb,2,1925-1926,18,5,13,0,.278,-8,0,0,0,0,,15.5,11,0,0,0
468,J.D. Roberts,3,1970-1972,35,7,25,3,.219,-18,0,0,0,0,,4.0,4,0,0,0
469,Ed Robinson,1,1931,11,4,4,3,.500,0,0,0,0,0,,6.0,6,0,0,0
470,John Robinson,9,1983-1991,143,75,68,0,.524,7,6,10,4,6,.400,2.2,1,0,0,0
471,Willy Robinson,1,2004,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
472,Terry Robiskie,6,1989-2004,9,2,7,0,.222,-5,0,0,0,0,,3.1,1,0,0,0
473,Charley Rogers,1,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
474,Darryl Rogers,4,1985-1988,58,18,40,0,.310,-22,0,0,0,0,,3.5,3,0,0,0
475,Greg Roman,1,2011,0,0,0,0,,0,0,0,0,0,,1.0,1,0,0,0
476,Gene Ronzani,4,1950-1953,46,14,31,1,.311,-17,0,0,0,0,,5.0,4,0,0,0
477,Tam Rose,1,1921,1,0,1,0,.000,-1,0,0,0,0,,18.0,18,0,0,0
478,Bobby Ross,9,1992-2000,137,74,63,0,.540,11,5,8,3,5,.375,2.7,1,0,0,1
479,Tom Rossley,6,2000-2005,0,0,0,0,,0,0,0,0,0,,2.0,1,0,0,0
480,Keith Rowen,2,2005-2006,0,0,0,0,,0,0,0,0,0,,3.5,3,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
481,Babe Ruetz,3,1922-1924,31,14,11,6,.560,3,0,0,0,0,,7.7,6,0,0,0
482,Clive Rush,2,1969-1970,21,5,16,0,.238,-11,0,0,0,0,,4.0,3,0,0,0
483,Rod Rust,15,1978-1996,16,1,15,0,.063,-14,0,0,0,0,,3.3,1,0,0,0
484,Sam Rutigliano,7,1978-1984,97,47,50,0,.485,-3,2,2,0,2,.000,2.7,1,0,0,0
485,Buddy Ryan,18,1976-1995,111,55,55,1,.500,0,3,3,0,3,.000,2.4,1,0,0,0
486,Rex Ryan,7,2005-2011,48,28,20,0,.583,8,2,6,4,2,.667,2.3,1,0,0,0
487,Rob Ryan,8,2004-2011,0,0,0,0,,0,0,0,0,0,,3.4,2,0,0,0
488,Lou Rymkus,2,1960-1961,19,11,7,1,.611,4,1,1,1,0,1.000,1.0,1,1,0,0
489,Lou Saban,16,1960-1976,201,95,99,7,.490,-4,4,4,2,2,.500,3.0,1,2,0,0
490,Nick Saban,6,1991-2006,32,15,17,0,.469,-2,0,0,0,0,,2.8,2,0,0,0
491,Lenny Sachs,1,1926,4,0,4,0,.000,-4,0,0,0,0,,21.0,21,0,0,0
492,Andy Salata,1,1930,3,0,3,0,.000,-3,0,0,0,0,,11.0,11,0,0,0
493,John Sandusky,1,1972,9,4,5,0,.444,-1,0,0,0,0,,3.0,3,0,0,0
494,Al Saunders,12,1986-2011,39,17,22,0,.436,-5,0,0,0,0,,3.1,1,0,0,0
495,Dewey Scanlon,4,1924-1929,36,17,15,4,.531,2,0,0,0,0,,8.0,4,0,0,0
496,Joe Scannella,1,1984,0,0,0,0,,0,0,0,0,0,,3.0,3,0,0,0
497,Paul Schissler,4,1933-1936,46,14,29,3,.326,-15,0,0,0,0,,3.8,2,0,0,0
498,Joe Schmidt+,6,1967-1972,84,43,34,7,.558,9,1,1,0,1,.000,2.5,2,0,0,0
499,Howard Schnellenberger,9,1970-1978,17,4,13,0,.235,-9,0,0,0,0,,2.1,1,0,0,0
500,Brian Schottenheimer,6,2006-2011,0,0,0,0,,0,0,0,0,0,,2.3,2,0,0,0
501,Kurt Schottenheimer,5,1999-2003,0,0,0,0,,0,0,0,0,0,,2.8,1,0,0,0
502,Marty Schottenheimer,26,1977-2006,327,200,126,1,.613,74,13,18,5,13,.278,2.1,1,0,0,0
503,Jim Schwartz,11,2001-2011,48,18,30,0,.375,-12,0,0,0,0,,2.5,1,0,0,0
504,Ralph Scott,1,1927,16,7,8,1,.467,-1,0,0,0,0,,6.0,6,0,0,0
505,Tom Scott,1,1946,7,1,6,0,.143,-5,0,0,0,0,,2.0,2,0,0,0
506,George Sefcik,6,1988-2001,0,0,0,0,,0,0,0,0,0,,3.2,1,0,0,0
507,George Seifert,17,1983-2001,176,114,62,0,.648,52,7,15,10,5,.667,1.5,1,2,2,2
508,Kyle Shanahan,4,2008-2011,0,0,0,0,,0,0,0,0,0,,3.0,2,0,0,0
509,Mike Shanahan,25,1985-2011,276,157,119,0,.569,38,7,13,8,5,.615,2.0,1,2,2,2
510,Clark Shaughnessy,2,1948-1949,24,14,7,3,.667,7,1,1,0,1,.000,2.0,1,0,0,0
